device	help_file	subtitle	category	unique_parameter_annotations	example_source
Max EffectMatrix.amxd	Max EffectMatrix.maxhelp	Effect Routing Matrix	routing	0	Noise (default) / drumLoop.aif
Max EnvFollower.amxd	Max EnvFollower.maxhelp	Envelope Analysis / Mapping	analysis	0	Noise (default) / drumLoop.aif
Max EqGraphic31.amxd	Max EqGraphic31.maxhelp	31-Band Graphic EQ	filter	0	Noise (default) / drumLoop.aif
Max EqParametric4.amxd	Max EqParametric4.maxhelp	Four-Band Parametric EQ	filter	0	Noise (default) / drumLoop.aif
Max EqShelving.amxd	Max EqShelving.maxhelp	Three-Band Shelving EQ	filter	0	Noise (default) / drumLoop.aif
Max SignalAnalyzer.amxd	Max SignalAnalyzer.maxhelp	Resonant-Bank Spectrum Analyzer	analysis	0	Noise (default) / drumLoop.aif
Max SpectralDelay.amxd	Max SpectralDelay.maxhelp	Spectral / FFT Delay	spectral	0	Noise (default) / drumLoop.aif
Max SpectralHarm.amxd	Max SpectralHarm.maxhelp	Spectral Harmonizer	spectral	0	Noise (default) / drumLoop.aif
Microtuner.amxd	Microtuner.maxhelp	Microtonal Pitch Corrector	pitch	16	Noise (default) / drumLoop.aif
Mono Vocoder.amxd	Mono Vocoder.maxhelp	Monophonic Retune Vocoder	pitch	14	Noise (default) / drumLoop.aif
MonsterCrunch.amxd	MonsterCrunch.maxhelp	Clipping / Low-Pass Distortion	distortion	10	Noise (default) / drumLoop.aif
Multi Harmonizer.amxd	Multi Harmonizer.maxhelp	Polyphonic Pitch Harmonizer	pitch	22	Noise (default) / drumLoop.aif
Nebula.amxd	Nebula.maxhelp	Stereo Spatialization	spatial	5	Noise (default) / drumLoop.aif
Noyzckippr.amxd	Noyzckippr.maxhelp	Filtered-Noise Modulation	modulation	6	Noise (default) / drumLoop.aif
Pendulum.amxd	Pendulum.maxhelp	Modulated Four-Tap Delay	delay	10	Noise (default) / drumLoop.aif
Phase Scope.amxd	Phase Scope.maxhelp	Stereo Phase Analyzer	analysis	1	Noise (default) / drumLoop.aif
Phone Filter.amxd	Phone Filter.maxhelp	Telephone / Band-Limited Filter	filter	4	Noise (default) / drumLoop.aif
Pitch & Echo.amxd	Pitch & Echo.maxhelp	Feedback Pitch-Shift Delay	pitch	19	Noise (default) / drumLoop.aif
Pitch & Vibrato.amxd	Pitch & Vibrato.maxhelp	Pitch Shift + Vibrato	pitch	14	Noise (default) / drumLoop.aif
Pitch Tracker.amxd	Pitch Tracker.maxhelp	Monophonic Pitch Analysis	analysis	16	Noise (default) / drumLoop.aif
PitchCorrect Player.amxd	PitchCorrect Player.maxhelp	Pitch/Formant-Correcting Player	player	18	Noise (default) / drumLoop.aif
PitchTime Player.amxd	PitchTime Player.maxhelp	Time/Pitch-Correcting Player	player	23	Noise (default) / drumLoop.aif
PluggoFuzz.amxd	PluggoFuzz.maxhelp	Filtered Fuzz / Distortion	distortion	11	Noise (default) / drumLoop.aif
Poly Vocoder.amxd	Poly Vocoder.maxhelp	Polyphonic Retune Vocoder	pitch	19	Noise (default) / drumLoop.aif
Raindrops.amxd	Raindrops.maxhelp	Resonant Particle Filter	filter	8	Noise (default) / drumLoop.aif
Rye.amxd	Rye.maxhelp	Granular / Doppler Pitch Shift	granular	8	Noise (default) / drumLoop.aif
Simple Pitch Shifter.amxd	Simple Pitch Shifter.maxhelp	Stereo Pitch Shifter	pitch	6	Noise (default) / drumLoop.aif
Space Echo.amxd	Space Echo.maxhelp	Tape-Style Echo / Reverb	delay	11	Noise (default) / drumLoop.aif
Spectral Filter.amxd	Spectral Filter.maxhelp	FFT Spectral Filter	spectral	2	Noise (default) / drumLoop.aif
Speed Shifter.amxd	Speed Shifter.maxhelp	Tape-Style Dual Delay	delay	8	Noise (default) / drumLoop.aif
SquirrelParade.amxd	SquirrelParade.maxhelp	Granular Cross-Modulation	granular	12	Noise (default) / drumLoop.aif
Stereo Adjuster.amxd	Stereo Adjuster.maxhelp	Stereo Width Utility	spatial	1	Noise (default) / drumLoop.aif
Stutterer.amxd	Stutterer.maxhelp	Fragment / Stutter Effect	granular	1	Noise (default) / drumLoop.aif
Swirl.amxd	Swirl.maxhelp	Delay-Based Stereo Panning	spatial	6	Noise (default) / drumLoop.aif
Synced Player.amxd	Synced Player.maxhelp	Transport-Synced Sample Player	player	26	Noise (default) / drumLoop.aif
Tapped Delay.amxd	Tapped Delay.maxhelp	16-Tap Stereo Delay	delay	7	Noise (default) / drumLoop.aif
Tremellow.amxd	Tremellow.maxhelp	Stereo Panning / Tremolo	modulation	4	Noise (default) / drumLoop.aif
Vibrato Cauldron.amxd	Vibrato Cauldron.maxhelp	Random Allpass Pitch Modulation	pitch	7	Noise (default) / drumLoop.aif
Warpoon.amxd	Warpoon.maxhelp	Multi-Tap Ambient Chorus	delay	6	Noise (default) / drumLoop.aif
WasteBand.amxd	WasteBand.maxhelp	Three-Band Filtered Distortion	distortion	14	Noise (default) / drumLoop.aif
Waveshaper.amxd	Waveshaper.maxhelp	Transfer-Curve Distortion	distortion	5	Noise (default) / drumLoop.aif
Wheat.amxd	Wheat.maxhelp	Granular Pitch Shifter	granular	16	Noise (default) / drumLoop.aif
Xformer.amxd	Xformer.maxhelp	Synced Stereo Gating	gating	7	Noise (default) / drumLoop.aif
